neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
Tempelhof,Entire rental unit,Entire home/apt,2.0639898423130014,-0.33430847470792335,0.73012556504314,1.7321466919132278,500.0
Brunnenstr. Süd,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,0.73012556504314,-0.020840265613023688,430.0
Schöneberg-Nord,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,145.0
Frankfurter Allee Süd FK,Entire condo,Entire home/apt,-0.6069839950470781,-0.33430847470792335,0.73012556504314,-0.020840265613023688,140.0
Brunnenstr. Nord,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,200.0
Prenzlauer Berg Ost,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-1.559171367930834,-0.6051692514551075,2520.0
Schöneberg-Süd,Entire rental unit,Entire home/apt,4.2898013734464016,1.7310379495469592,3.019422498017114,5.822449592807815,780.0
Neue Kantstraße,Entire rental unit,Entire home/apt,0.28334061740628186,1.7310379495469592,0.73012556504314,-0.020840265613023688,530.0
Tempelhofer Vorstadt,Private room in condo,Private room,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,235.0
Prenzlauer Berg Nord,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,205.0
Reuterstraße,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,0.73012556504314,-0.020840265613023688,2317.62
Neu Lichtenberg,Casa particular,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,220.0
Otto-Suhr-Allee,Entire rental unit,Entire home/apt,1.173665229859642,1.7310379495469592,1.874774031530127,0.5634887202290602,465.0
Moabit West,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,220.0
Alexanderplatz,Entire rental unit,Entire home/apt,0.7285029236329619,-0.33430847470792335,-0.414522901443847,1.1478177060711439,490.0
Schöneberg-Nord,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,290.0
Tempelhof,Entire rental unit,Entire home/apt,0.7285029236329619,1.7310379495469592,1.874774031530127,1.1478177060711439,3143.66
Tempelhofer Vorstadt,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,150.0
Otto-Suhr-Allee,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,0.73012556504314,0.5634887202290602,310.0
Alt-Lichtenberg,Entire rental unit,Entire home/apt,-0.1618216888203981,0.6983647374195179,0.73012556504314,-0.020840265613023688,320.0
Prenzlauer Berg Nordwest,Private room in rental unit,Private room,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,155.0
Südliche Friedrichstadt,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,125.0
Schöneberg-Nord,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-1.559171367930834,-0.6051692514551075,145.0
Neue Kantstraße,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,540.0
Tempelhofer Vorstadt,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,150.0
Frankfurter Allee Süd FK,Houseboat,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,0.5634887202290602,275.0
Schillerpromenade,Room in aparthotel,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,215.0
Otto-Suhr-Allee,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,235.0
Prenzlauer Berg Nord,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,205.0
Moabit West,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-1.1894982372971914,140.0
Moabit Ost,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,-1.559171367930834,-0.020840265613023688,260.0
Frankfurter Allee Süd FK,Entire rental unit,Entire home/apt,2.5091521485396817,0.6983647374195179,0.73012556504314,-0.020840265613023688,665.0
Brunnenstr. Süd,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,215.0
Volkspark Wilmersdorf,Room in hotel,Private room,-0.6069839950470781,-2.399654898962806,-0.414522901443847,-0.6051692514551075,135.0
Rixdorf,Private room in rental unit,Private room,-1.0521463012737582,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,1251.83
Alexanderplatz,Entire rental unit,Entire home/apt,0.7285029236329619,-0.33430847470792335,-0.414522901443847,0.5634887202290602,500.0
Prenzlauer Berg Südwest,Entire rental unit,Entire home/apt,0.7285029236329619,-0.33430847470792335,-1.559171367930834,1.1478177060711439,460.0
Rixdorf,Entire rental unit,Entire home/apt,0.7285029236329619,-0.33430847470792335,0.73012556504314,0.5634887202290602,675.0
Prenzlauer Berg Nordwest,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,155.0
Friedrichsfelde Nord,Private room in rental unit,Private room,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,110.0
